"","temp","origin","date","mean_temp"
"120",71.06,"JFK",2013-08-16,71.06
"121",59,"JFK",2013-10-08,59
"122",48.92,"EWR",2013-03-11,48.92
"123",42.08,"LGA",2013-01-05,42.08
"124",73.04,"JFK",2013-06-28,73.04
"125",62.06,"EWR",2013-05-01,62.06
"126",71.96,"LGA",2013-10-05,71.96
"127",62.96,"JFK",2013-06-04,62.96
"128",60.98,"EWR",2013-10-10,60.98
"129",78.8,"LGA",2013-09-12,78.8
"130",15.98,"EWR",2013-01-22,15.98
"131",84.02,"EWR",2013-07-07,84.02
"132",30.02,"LGA",2013-03-22,30.02
"133",75.92,"EWR",2013-08-05,75.92
"134",32,"EWR",2013-03-08,32
"135",89.6,"JFK",2013-06-24,89.6
"136",33.98,"LGA",2013-03-20,33.98
"137",62.06,"LGA",2013-09-29,62.06
"138",57.02,"EWR",2013-05-01,57.02
"139",77,"LGA",2013-08-17,77
"140",68,"EWR",2013-11-01,68
"141",41,"JFK",2013-03-31,41
"142",66.02,"LGA",2013-10-22,66.02
"143",71.96,"JFK",2013-06-22,71.96
"144",42.08,"LGA",2013-02-12,42.08
"145",60.8,"JFK",2013-05-11,60.8
"146",69.98,"JFK",2013-06-08,69.98
"147",55.94,"JFK",2013-04-14,55.94
"148",91.94,"LGA",2013-07-14,91.94
"149",55.94,"EWR",2013-05-25,55.94
"150",89.96,"LGA",2013-09-11,89.96
"151",75.92,"EWR",2013-09-19,75.92
"152",53.06,"EWR",2013-10-10,53.06
"153",48.92,"LGA",2013-03-31,48.92
"154",80.06,"JFK",2013-10-01,80.06
"155",51.08,"LGA",2013-04-30,51.08
"156",33.8,"LGA",2013-02-08,33.8
"157",46.94,"JFK",2013-10-27,46.94
"158",46.04,"LGA",2013-02-14,46.04
"159",75.92,"EWR",2013-08-10,75.92
"160",46.94,"JFK",2013-11-03,46.94
"161",51.08,"JFK",2013-12-28,51.08
"162",57.02,"EWR",2013-05-01,57.02
"163",33.8,"LGA",2013-02-08,33.8
"164",55.94,"EWR",2013-04-26,55.94
"165",75.92,"EWR",2013-10-02,75.92
"166",62.96,"LGA",2013-05-08,62.96
"167",87.98,"LGA",2013-09-11,87.98
"168",53.96,"LGA",2013-10-23,53.96
"169",64.94,"JFK",2013-06-04,64.94
"170",80.06,"JFK",2013-06-25,80.06
"171",60.08,"EWR",2013-11-06,60.08
"172",71.96,"JFK",2013-07-27,71.96
"173",80.06,"EWR",2013-08-03,80.06
"174",64.94,"JFK",2013-05-10,64.94
"175",57.92,"JFK",2013-05-18,57.92
"176",44.06,"EWR",2013-04-07,44.06
"177",80.06,"JFK",2013-06-16,80.06
"178",73.04,"LGA",2013-06-14,73.04
"179",78.08,"EWR",2013-07-13,78.08
"180",28.94,"LGA",2013-02-22,28.94
"181",64.4,"JFK",2013-11-01,64.4
"182",57.02,"EWR",2013-05-06,57.02
"183",60.98,"LGA",2013-12-22,60.98
"184",14,"EWR",2013-01-25,14
"185",60.08,"LGA",2013-10-21,60.08
"186",33.08,"LGA",2013-03-21,33.08
"187",51.08,"JFK",2013-11-16,51.08
"188",57.92,"LGA",2013-12-21,57.92
"189",53.96,"JFK",2013-04-29,53.96
"190",82.04,"EWR",2013-06-21,82.04
"191",71.96,"EWR",2013-09-30,71.96
"192",30.92,"LGA",2013-11-25,30.92
"193",28.4,"LGA",2013-12-17,28.4
"194",42.98,"EWR",2013-03-01,42.98
"195",48.02,"LGA",2013-03-29,48.02
"196",39.02,"JFK",2013-03-03,39.02
"197",48.92,"LGA",2013-01-19,48.92
"198",82.04,"EWR",2013-07-18,82.04
"199",82.94,"EWR",2013-06-09,82.94
"200",62.06,"LGA",2013-10-16,62.06
"201",66.92,"EWR",2013-09-20,66.92
"202",75.92,"EWR",2013-06-12,75.92
"203",44.06,"EWR",2013-04-12,44.06
"204",71.96,"EWR",2013-08-07,71.96
"205",42.98,"EWR",2013-11-15,42.98
"206",82.94,"LGA",2013-09-10,82.94
"207",48.92,"EWR",2013-03-11,48.92
"208",82.94,"EWR",2013-06-25,82.94
"209",78.08,"EWR",2013-07-28,78.08
"210",55.04,"JFK",2013-04-18,55.04
"211",30.02,"EWR",2013-12-08,30.02
"212",32,"EWR",2013-12-08,32
"213",42.08,"JFK",2013-10-28,42.08
"214",41,"EWR",2013-02-26,41
"215",62.96,"LGA",2013-10-31,62.96
"216",48.02,"LGA",2013-04-04,48.02
"217",82.04,"EWR",2013-06-02,82.04
"218",69.8,"LGA",2013-10-05,69.8
"219",37.94,"LGA",2013-02-06,37.94
"220",30.02,"LGA",2013-01-27,30.02
"221",24.08,"LGA",2013-01-25,24.08
"222",44.06,"EWR",2013-10-27,44.06
"223",28.04,"EWR",2013-02-05,28.04
"224",62.6,"LGA",2013-10-09,62.6
"225",44.96,"LGA",2013-01-06,44.96
"226",71.06,"EWR",2013-06-14,71.06
"227",84.02,"LGA",2013-09-12,84.02
"228",30.02,"LGA",2013-02-21,30.02
"229",66.02,"JFK",2013-10-04,66.02
"230",46.94,"LGA",2013-12-05,46.94
"231",60.98,"EWR",2013-06-07,60.98
"232",89.06,"EWR",2013-07-09,89.06
"233",55.04,"JFK",2013-05-15,55.04
"234",41,"LGA",2013-12-04,41
"235",64.04,"EWR",2013-04-16,64.04
"236",37.04,"EWR",2013-02-22,37.04
"237",57.92,"LGA",2013-12-23,57.92
"238",77,"LGA",2013-07-12,77
"239",66.92,"JFK",2013-06-20,66.92
"240",73.04,"LGA",2013-06-12,73.04
"241",50,"JFK",2013-12-02,50
"242",66.02,"LGA",2013-10-15,66.02
"243",78.98,"LGA",2013-08-19,78.98
"244",50,"EWR",2013-10-25,50
"245",80.06,"JFK",2013-10-01,80.06
"246",59,"LGA",2013-11-17,59
"247",60.08,"EWR",2013-05-03,60.08
"248",80.06,"LGA",2013-09-03,80.06
"249",77,"LGA",2013-08-30,77
"250",35.96,"LGA",2013-02-10,35.96
"251",69.98,"EWR",2013-08-19,69.98
"252",66.2,"EWR",2013-08-11,66.2
"253",46.04,"JFK",2013-04-01,46.04
"254",30.2,"EWR",2013-02-01,30.2
"255",35.06,"LGA",2013-11-13,35.06
"256",59,"EWR",2013-12-05,59
"257",44.96,"EWR",2013-03-24,44.96
"258",30.02,"JFK",2013-02-03,30.02
"259",51.98,"EWR",2013-04-23,51.98
"260",62.96,"JFK",2013-10-18,62.96
"261",24.08,"LGA",2013-12-12,24.08
"262",39.02,"EWR",2013-03-22,39.02
"263",46.94,"JFK",2013-03-23,46.94
"264",26.96,"LGA",2013-12-16,26.96
"265",62.96,"EWR",2013-10-09,62.96
"266",44.96,"EWR",2013-02-27,44.96
"267",37.04,"EWR",2013-03-07,37.04
"268",51.98,"LGA",2013-04-22,51.98
"269",39.02,"LGA",2013-11-19,39.02
"270",24.98,"LGA",2013-12-14,24.98
"271",51.98,"LGA",2013-10-24,51.98
"272",42.8,"JFK",2013-02-11,42.8
"273",64.04,"JFK",2013-10-10,64.04
"274",39.92,"LGA",2013-01-31,39.92
"275",73.04,"JFK",2013-08-07,73.04
"276",42.98,"LGA",2013-02-11,42.98
"277",66.92,"JFK",2013-09-27,66.92
"278",57.02,"EWR",2013-04-13,57.02
"279",66.02,"EWR",2013-09-24,66.02
"280",41,"LGA",2013-03-23,41
"281",42.08,"EWR",2013-03-14,42.08
"282",53.42,"JFK",2013-10-24,53.42
"283",75.92,"EWR",2013-08-09,75.92
"284",53.96,"JFK",2013-04-30,53.96
"285",68,"EWR",2013-05-27,68
"286",75.92,"JFK",2013-07-21,75.92
"287",51.98,"JFK",2013-03-30,51.98
"288",69.08,"EWR",2013-09-20,69.08
"289",33.08,"EWR",2013-02-09,33.08
"290",82.94,"JFK",2013-07-22,82.94
"291",44.96,"EWR",2013-12-06,44.96
"292",78.08,"JFK",2013-07-29,78.08
"293",55.04,"LGA",2013-11-22,55.04
"294",32,"LGA",2013-12-30,32
"295",82.94,"EWR",2013-07-02,82.94
"296",66.02,"JFK",2013-05-22,66.02
"297",73.94,"JFK",2013-10-04,73.94
"298",64.94,"LGA",2013-07-25,64.94
"299",71.96,"LGA",2013-10-05,71.96
"300",73.94,"JFK",2013-06-09,73.94
"301",42.98,"LGA",2013-01-08,42.98
"302",59,"EWR",2013-05-20,59
"303",66.02,"EWR",2013-09-22,66.02
"304",57.2,"EWR",2013-11-17,57.2
"305",53.42,"JFK",2013-10-26,53.42
"306",33.08,"EWR",2013-03-18,33.08
"307",71.06,"EWR",2013-04-08,71.06
"308",75.2,"JFK",2013-08-09,75.2
"309",44.96,"EWR",2013-01-20,44.96
"310",73.94,"EWR",2013-06-30,73.94
"311",80.06,"EWR",2013-08-12,80.06
"312",93.92,"EWR",2013-09-11,93.92
"313",51.08,"JFK",2013-11-15,51.08
"314",78.98,"EWR",2013-07-15,78.98
"315",78.08,"LGA",2013-08-09,78.08
"316",35.06,"LGA",2013-11-20,35.06
"317",82.04,"EWR",2013-10-01,82.04
"318",80.06,"EWR",2013-07-02,80.06
"319",48.02,"JFK",2013-01-09,48.02
"320",33.08,"JFK",2013-01-03,33.08
"321",78.08,"JFK",2013-06-28,78.08
"322",51.98,"LGA",2013-12-20,51.98
"323",78.08,"EWR",2013-06-15,78.08
"324",73.94,"EWR",2013-08-22,73.94
"325",78.08,"EWR",2013-06-12,78.08
"326",55.94,"EWR",2013-04-10,55.94
"327",30.92,"EWR",2013-01-19,30.92
"328",39.02,"EWR",2013-03-25,39.02
"329",77,"LGA",2013-06-24,77
"330",68,"LGA",2013-10-04,68
"331",57.02,"LGA",2013-05-05,57.02
"332",32,"JFK",2013-03-17,32
"333",71.06,"JFK",2013-05-10,71.06
"334",30.92,"EWR",2013-02-05,30.92
"335",39.02,"LGA",2013-03-14,39.02
"336",28.04,"LGA",2013-02-22,28.04
"337",60.08,"EWR",2013-04-27,60.08
"338",73.94,"LGA",2013-08-09,73.94
"339",42.08,"EWR",2013-03-06,42.08
"340",84.02,"EWR",2013-09-01,84.02
"341",75.02,"EWR",2013-08-18,75.02
"342",60.98,"JFK",2013-05-06,60.98
"343",60.08,"JFK",2013-05-27,60.08
"344",48.92,"JFK",2013-11-14,48.92
"345",78.08,"EWR",2013-09-05,78.08
"346",95,"LGA",2013-07-18,95
"347",51.08,"EWR",2013-04-16,51.08
"348",62.96,"EWR",2013-09-22,62.96
"349",23,"EWR",2013-01-26,23
"350",37.4,"EWR",2013-11-12,37.4
"351",91.94,"JFK",2013-07-20,91.94
"352",86,"EWR",2013-08-27,86
"353",48.92,"LGA",2013-05-05,48.92
"354",39.92,"EWR",2013-11-13,39.92
"355",62.06,"JFK",2013-10-21,62.06
"356",33.98,"JFK",2013-12-18,33.98
"357",46.94,"LGA",2013-11-19,46.94
"358",71.96,"EWR",2013-09-30,71.96
"359",42.08,"EWR",2013-03-29,42.08
"360",66.92,"LGA",2013-05-02,66.92
"361",39.02,"EWR",2013-11-29,39.02
"362",42.08,"EWR",2013-12-03,42.08
"363",69.08,"EWR",2013-06-23,69.08
"364",53.96,"EWR",2013-03-29,53.96
"365",73.94,"EWR",2013-09-05,73.94
"366",39.02,"LGA",2013-12-24,39.02
"367",59,"LGA",2013-10-30,59
"368",73.94,"JFK",2013-06-16,73.94
"369",66.92,"JFK",2013-10-08,66.92
"370",77,"JFK",2013-06-27,77
"371",73.04,"JFK",2013-05-17,73.04
"372",44.96,"LGA",2013-01-29,44.96
"373",46.94,"LGA",2013-10-26,46.94
"374",73.04,"EWR",2013-08-15,73.04
"375",62.96,"JFK",2013-04-26,62.96
"376",39.02,"EWR",2013-01-17,39.02
"377",53.96,"EWR",2013-03-29,53.96
"378",64.04,"EWR",2013-04-24,64.04
"379",33.08,"JFK",2013-01-19,33.08
"380",62.96,"LGA",2013-09-17,62.96
"381",33.08,"LGA",2013-12-08,33.08
"382",39.02,"EWR",2013-03-25,39.02
"383",78.08,"LGA",2013-06-15,78.08
"384",28.94,"EWR",2013-02-10,28.94
"385",44.96,"LGA",2013-03-11,44.96
"386",62.06,"LGA",2013-04-30,62.06
"387",50,"EWR",2013-10-22,50
"388",51.98,"LGA",2013-05-24,51.98
"389",66.92,"JFK",2013-06-18,66.92
"390",50,"JFK",2013-11-16,50
"391",53.06,"EWR",2013-01-20,53.06
"392",73.04,"EWR",2013-07-29,73.04
"393",37.04,"EWR",2013-03-07,37.04
"394",64.94,"LGA",2013-08-05,64.94
"395",71.6,"JFK",2013-09-13,71.6
"396",37.94,"LGA",2013-03-21,37.94
"397",80.06,"EWR",2013-10-03,80.06
"398",60.98,"EWR",2013-08-15,60.98
"399",71.96,"EWR",2013-09-30,71.96
"400",50,"LGA",2013-09-17,50
"401",37.04,"JFK",2013-11-29,37.04
"402",48.02,"JFK",2013-04-15,48.02
"403",80.06,"EWR",2013-07-02,80.06
"404",62.06,"LGA",2013-10-01,62.06
"405",30.02,"EWR",2013-02-20,30.02
"406",84.02,"EWR",2013-08-11,84.02
"407",69.98,"LGA",2013-06-19,69.98
"408",32,"EWR",2013-01-21,32
"409",35.96,"LGA",2013-03-19,35.96
"410",80.6,"EWR",2013-10-07,80.6
"411",82.94,"EWR",2013-06-30,82.94
"412",82.04,"JFK",2013-07-13,82.04
"413",53.96,"EWR",2013-10-26,53.96
"414",60.8,"EWR",2013-10-11,60.8
"415",46.04,"EWR",2013-03-26,46.04
"416",71.96,"EWR",2013-09-25,71.96
"417",28.94,"JFK",2013-02-03,28.94
"418",42.98,"EWR",2013-02-25,42.98
"419",30.92,"LGA",2013-02-10,30.92
"420",57.02,"LGA",2013-09-18,57.02
"421",51.98,"JFK",2013-11-05,51.98
"422",62.96,"EWR",2013-12-21,62.96
"423",66.92,"JFK",2013-04-10,66.92
"424",39.92,"JFK",2013-02-12,39.92
"425",19.94,"JFK",2013-12-25,19.94
"426",51.08,"JFK",2013-11-05,51.08
"427",33.98,"EWR",2013-01-05,33.98
"428",64.04,"JFK",2013-10-10,64.04
"429",62.06,"JFK",2013-05-10,62.06
"430",57.02,"LGA",2013-12-21,57.02
"431",69.98,"JFK",2013-06-22,69.98
"432",66.92,"JFK",2013-09-18,66.92
"433",82.94,"EWR",2013-06-16,82.94
"434",78.8,"EWR",2013-05-22,78.8
"435",53.96,"LGA",2013-10-21,53.96
"436",51.98,"LGA",2013-12-20,51.98
"437",62.06,"LGA",2013-10-15,62.06
"438",59,"JFK",2013-04-26,59
"439",68,"LGA",2013-10-04,68
"440",69.98,"LGA",2013-05-20,69.98
"441",57.02,"EWR",2013-10-28,57.02
"442",39.02,"EWR",2013-10-24,39.02
"443",64.94,"EWR",2013-10-13,64.94
"444",69.98,"JFK",2013-09-19,69.98
"445",75.92,"JFK",2013-08-03,75.92
"446",82.94,"EWR",2013-06-26,82.94
"447",84.02,"LGA",2013-07-11,84.02
"448",48.92,"EWR",2013-11-14,48.92
"449",57.02,"EWR",2013-04-30,57.02
"450",51.98,"JFK",2013-10-23,51.98
"451",69.08,"JFK",2013-05-22,69.08
"452",75.02,"JFK",2013-08-13,75.02
"453",84.92,"EWR",2013-10-02,84.92
"454",39.92,"EWR",2013-12-19,39.92
"455",41,"EWR",2013-11-23,41
"456",43.88,"JFK",2013-10-26,43.88
"457",71.96,"JFK",2013-10-03,71.96
"458",64.04,"EWR",2013-06-04,64.04
"459",39.92,"EWR",2013-03-04,39.92
"460",46.04,"LGA",2013-10-29,46.04
"461",62.06,"EWR",2013-10-10,62.06
"462",51.8,"JFK",2013-11-21,51.8
"463",78.8,"EWR",2013-07-05,78.8
"464",33.08,"JFK",2013-11-28,33.08
"465",51.98,"LGA",2013-12-20,51.98
"466",60.98,"LGA",2013-10-18,60.98
"467",57.92,"EWR",2013-12-05,57.92
"468",91.04,"EWR",2013-07-15,91.04
"469",78.08,"EWR",2013-07-01,78.08
"470",53.96,"LGA",2013-10-26,53.96
"471",28.04,"EWR",2013-12-25,28.04
"472",73.04,"JFK",2013-08-31,73.04
"473",75.92,"LGA",2013-07-03,75.92
"474",44.06,"LGA",2013-04-23,44.06
"475",44.06,"LGA",2013-02-28,44.06
"476",62.06,"EWR",2013-08-14,62.06
"477",19.04,"EWR",2013-02-02,19.04
"478",66.92,"EWR",2013-05-07,66.92
"479",75.02,"LGA",2013-07-31,75.02
"480",39.02,"EWR",2013-03-03,39.02
"481",39.02,"LGA",2013-01-29,39.02
"482",15.08,"LGA",2013-01-24,15.08
"483",66.92,"JFK",2013-09-23,66.92
"484",68,"LGA",2013-06-14,68
"485",57.2,"EWR",2013-10-31,57.2
"486",62.06,"JFK",2013-06-08,62.06
"487",86,"EWR",2013-07-09,86
"488",46.94,"LGA",2013-01-30,46.94
"489",80.6,"EWR",2013-07-22,80.6
"490",71.06,"JFK",2013-06-16,71.06
"491",26.06,"JFK",2013-01-18,26.06
"492",71.06,"EWR",2013-09-29,71.06
"493",53.96,"LGA",2013-05-03,53.96
"494",62.06,"EWR",2013-06-05,62.06
"495",26.6,"JFK",2013-12-17,26.6
"496",73.94,"EWR",2013-06-24,73.94
"497",78.98,"JFK",2013-06-23,78.98
"498",77,"JFK",2013-08-28,77
"499",42.98,"EWR",2013-03-26,42.98
"500",44.06,"LGA",2013-02-12,44.06
"501",82.04,"LGA",2013-08-10,82.04
"502",98.06,"EWR",2013-07-19,98.06
"503",66.02,"LGA",2013-09-15,66.02
"504",62.06,"EWR",2013-10-14,62.06
"505",24.08,"EWR",2013-12-13,24.08
"506",66.02,"LGA",2013-08-05,66.02
"507",51.08,"EWR",2013-01-19,51.08
"508",80.96,"JFK",2013-09-04,80.96
"509",28.94,"EWR",2013-02-05,28.94
"510",42.98,"EWR",2013-01-17,42.98
"511",84.92,"LGA",2013-09-10,84.92
"512",66.92,"EWR",2013-05-20,66.92
"513",68,"LGA",2013-12-22,68
"514",57.02,"JFK",2013-04-25,57.02
"515",57.02,"EWR",2013-10-18,57.02
"516",62.06,"EWR",2013-10-19,62.06
"517",33.08,"JFK",2013-01-02,33.08
"518",69.98,"EWR",2013-05-15,69.98
"519",48.02,"LGA",2013-05-25,48.02
"520",73.04,"JFK",2013-08-12,73.04
"521",51.08,"EWR",2013-04-15,51.08
"522",42.8,"EWR",2013-12-29,42.8
"523",71.96,"EWR",2013-10-01,71.96
"524",46.94,"JFK",2013-02-27,46.94
"525",32,"EWR",2013-02-07,32
"526",69.98,"LGA",2013-06-21,69.98
"527",57.92,"JFK",2013-09-17,57.92
"528",62.96,"LGA",2013-04-08,62.96
"529",68,"EWR",2013-09-13,68
"530",53.6,"JFK",2013-12-22,53.6
"531",51.98,"JFK",2013-04-27,51.98
"532",39.02,"JFK",2013-03-10,39.02
"533",37.94,"JFK",2013-03-19,37.94
"534",26.06,"LGA",2013-02-21,26.06
"535",75.02,"JFK",2013-08-28,75.02
"536",71.06,"JFK",2013-08-01,71.06
"537",41,"EWR",2013-03-08,41
"538",39.02,"JFK",2013-02-23,39.02
"539",75.92,"EWR",2013-06-19,75.92
"540",60.98,"JFK",2013-10-10,60.98
"541",73.94,"LGA",2013-09-19,73.94
"542",44.96,"JFK",2013-02-25,44.96
"543",48.92,"LGA",2013-11-14,48.92
"544",42.98,"LGA",2013-11-04,42.98
"545",87.98,"LGA",2013-09-11,87.98
"546",30.02,"EWR",2013-01-03,30.02
"547",80.96,"JFK",2013-06-26,80.96
"548",66.92,"LGA",2013-05-28,66.92
"549",37.94,"LGA",2013-03-08,37.94
"550",73.94,"EWR",2013-05-10,73.94
"551",87.08,"LGA",2013-07-04,87.08
"552",71.6,"JFK",2013-08-01,71.6
"553",78.08,"LGA",2013-09-02,78.08
"554",59,"JFK",2013-11-02,59
"555",51.98,"LGA",2013-11-22,51.98
"556",42.08,"EWR",2013-03-11,42.08
"557",32,"EWR",2013-04-04,32
"558",66.92,"EWR",2013-06-10,66.92
"559",75.02,"JFK",2013-07-14,75.02
"560",60.08,"EWR",2013-10-13,60.08
"561",55.94,"EWR",2013-04-30,55.94
"562",84.92,"JFK",2013-07-08,84.92
"563",30.92,"LGA",2013-03-15,30.92
"564",84.02,"EWR",2013-09-01,84.02
"565",73.94,"JFK",2013-06-24,73.94
"566",33.98,"JFK",2013-03-08,33.98
"567",53.96,"LGA",2013-05-13,53.96
"568",48.02,"EWR",2013-10-27,48.02
"569",68,"LGA",2013-09-25,68
"570",57.92,"EWR",2013-10-10,57.92
"571",78.98,"EWR",2013-08-05,78.98
"572",91.94,"EWR",2013-06-24,91.94
"573",73.94,"LGA",2013-05-29,73.94
"574",66.92,"LGA",2013-08-15,66.92
"575",41,"JFK",2013-01-07,41
"576",32,"LGA",2013-11-20,32
"577",84.92,"JFK",2013-07-23,84.92
"578",64.94,"JFK",2013-10-18,64.94
"579",62.96,"LGA",2013-05-06,62.96
"580",48.92,"EWR",2013-10-23,48.92
"581",60.98,"LGA",2013-10-19,60.98
"582",64.94,"EWR",2013-11-18,64.94
"583",60.98,"JFK",2013-11-01,60.98
"584",42.08,"JFK",2013-03-11,42.08
"585",64.94,"EWR",2013-04-08,64.94
"586",32,"JFK",2013-02-20,32
"587",62.06,"EWR",2013-04-01,62.06
"588",37.94,"LGA",2013-02-06,37.94
"589",46.4,"LGA",2013-12-23,46.4
"590",75.92,"EWR",2013-08-09,75.92
"591",30.02,"JFK",2013-02-10,30.02
"592",71.06,"JFK",2013-08-18,71.06
"593",60.08,"LGA",2013-09-17,60.08
"594",87.08,"JFK",2013-07-18,87.08
"595",46.94,"EWR",2013-02-14,46.94
"596",42.98,"LGA",2013-02-15,42.98
"597",68,"EWR",2013-10-31,68
"598",64.94,"JFK",2013-05-29,64.94
"599",59,"EWR",2013-01-30,59
"600",80.96,"JFK",2013-04-09,80.96
"601",42.98,"LGA",2013-02-26,42.98
"602",64.04,"JFK",2013-10-07,64.04
"603",75.02,"JFK",2013-08-09,75.02
"604",44.06,"JFK",2013-01-05,44.06
"605",62.96,"EWR",2013-10-19,62.96
"606",42.98,"LGA",2013-03-19,42.98
"607",30.02,"JFK",2013-11-29,30.02
"608",78.08,"LGA",2013-08-23,78.08
"609",23,"JFK",2013-01-25,23
"610",50,"EWR",2013-10-14,50
"611",44.06,"JFK",2013-03-20,44.06
"612",48.02,"EWR",2013-03-28,48.02
"613",71.06,"JFK",2013-06-17,71.06
"614",69.08,"EWR",2013-09-25,69.08
"615",41,"JFK",2013-12-09,41
"616",57.92,"EWR",2013-04-17,57.92
"617",66.92,"EWR",2013-05-17,66.92
"618",66.92,"LGA",2013-06-22,66.92
